cardNumber,masterCardId,coingeckoId,name,symbol,cardTitle,cardSubtitle,flavorText,setCode,collectionCode,edition,artist,visualIdentityCore,heroFocus,allowedMotifs,forbiddenMotifs,colorCues,artTone,archetype,cardworthiness,primaryChain,heroArtworkPrompt
S01-001,MCG-001,dogecoin,Dogecoin,DOGE,Dogecoin,The OG,Still here. Still good boy.,S01,GENESIS,Edition 1,TBD,"Shiba Inu dog face — the laughing doge, warm golden tones, pure internet joy","The iconic shiba inu doge face — original, happy, golden","shiba inu face, doge expression, ""wow much coin"", golden warmth, OG meme cues","pepe frog, bitcoin B, ETH diamond, generic crypto collage, moon rockets, other dog breeds","warm gold #C5A02E, cream, warm brown",warm / playful / nostalgic,PANTHEON,S+,Bitcoin,"Dogecoin DOGE: original shiba inu doge meme face, warm gold tones — Shiba Inu dog face — the laughing doge, warm golden tones, pure internet joy"
S01-002,MCG-002,shiba-inu,Shiba Inu,SHIB,Shiba Inu,Doge Killer,It said doge was a phase.,S01,GENESIS,Edition 1,TBD,"Fierce orange shiba — aggressive stance, more intense than DOGE, the rebel meme token","Fierce SHIB shiba dog — intense eyes, orange fire energy, distinctly aggressive vs doge","aggressive shiba face, orange flames, SHIB text, ""Doge Killer"" energy, ETH chain beneath","gentle doge face (CRITICAL confusion risk), pepe frog, bitcoin, generic dog collage","orange #FFA409, dark red, ember glow",fierce / defiant / orange-hot,PANTHEON,S,Ethereum,"Shiba Inu SHIB: fierce orange shiba dog, aggressive stance, the Doge Killer on Ethereum — Fierce orange shiba — aggressive stance, more intense than DOGE, the rebel meme token"
S01-003,MCG-004,pepe,Pepe,PEPE,Pepe,The Frog Lord,Rare. Always was.,S01,GENESIS,Edition 1,TBD,"Pepe the Frog — that specific green frog expression, rare Pepe, 4chan internet culture","Classic Pepe the Frog face — the specific green frog expression, centered and iconic","Pepe the Frog face, rare Pepe, green frog, kek gold, 4chan origins, classic expression","shiba inu, doge dog (CRITICAL confusion), bitcoin B, ETH diamond, any dog imagery, generic crypto collage","green #00A550, dark green, kek gold #FFD700",chaotic / ironic / frog energy,PANTHEON,S+,Ethereum,"Pepe PEPE: original Pepe the Frog meme, green frog face, 4chan kek culture — Pepe the Frog — that specific green frog expression, rare Pepe, 4chan internet culture"
S01-004,MCG-005,official-trump,TRUMP,TRUMP,TRUMP,Official Meme,Make your portfolio great again.,S01,GENESIS,Edition 1,TBD,"Trump golden aesthetic — bold American political meme, gold and red power","Trump golden presidential figure — commanding, gold, American power energy","Trump golden silhouette, American eagle, gold coins, TRUMP text, bold political energy","Melania (separate token), doge, pepe, generic meme collage, MAGA hat only","gold #FFD700, red #B22234, navy blue, white",bold / American / gold-power,PANTHEON,A,Solana,"Official Trump TRUMP: golden presidential meme, American political power on Solana — Trump golden aesthetic — bold American political meme, gold and red power"
S01-005,MCG-006,bonk,Bonk,BONK,Bonk,Solana's Dog,Bonked into existence.,S01,GENESIS,Edition 1,TBD,Cartoon shiba-type dog with bonk baseball bat — playful Solana energy,Cartoon dog holding baseball bat mid-bonk — comic book impact energy,"cartoon dog with bat, BONK text, orange/yellow Solana tones, comic impact stars","doge face (confusion risk), pepe, shib, generic Solana logos, moon rockets","orange #FF6B35, yellow, Solana purple hint",playful / comic / bonk energy,PANTHEON,A,Solana,"Bonk BONK: cartoon dog with bonk bat, Solana meme coin, comic impact energy — Cartoon shiba-type dog with bonk baseball bat — playful Solana energy"
S01-006,MCG-007,pudgy-penguins,Pudgy Penguins,PENGU,Pudgy Penguins,The Penguin Pfps,Too cute to be this expensive.,S01,GENESIS,Edition 1,TBD,"Chubby cartoon penguin — round, cute, premium NFT collection energy","Chubby round Pudgy Penguin — adorable, premium, with characteristic fat penguin shape","chubby pudgy penguin, iceberg, cold blue, NFT pfp energy, penguin with accessories","doge, pepe, generic penguins (non-pudgy style), bitcoin, ethereum, random NFT logos","ice blue #A8D8EA, white, dark navy, penguin black/white",cute / premium / cold-blue,PANTHEON,A,Ethereum,"Pudgy Penguins PENGU: chubby cartoon penguin, NFT collection meme token — Chubby cartoon penguin — round, cute, premium NFT collection energy"
S01-007,MCG-009,floki,FLOKI,FLOKI,FLOKI,Viking Shiba,Norse god. Dog face. No notes.,S01,GENESIS,Edition 1,TBD,Shiba inu with Viking helmet — the Elon Musk dog turned Norse warrior meme,Shiba inu wearing a Viking helmet — epic Norse warrior dog energy,"shiba inu with viking helmet, Norse ship, FLOKI runic text, warrior energy, longship","doge face (confusion), pepe, generic shiba without viking gear, bitcoin, ethereum","dark red, gold, Norse wood tones, shiba orange",epic / norse / warrior dog,PANTHEON,A-,Ethereum,"Floki FLOKI: shiba inu with Viking helmet, Norse warrior meme dog — Shiba inu with Viking helmet — the Elon Musk dog turned Norse warrior meme"
S01-008,MCG-011,terra-luna,Terra Luna Classic,LUNC,Terra Luna Classic,The Fallen,Died twice. Still trending.,S01,GENESIS,Edition 1,TBD,"Luna crescent moon falling — the great crypto collapse, now a zombie meme community","Luna crescent in dark sky — the fallen moon, post-collapse haunted energy","crescent moon, LUNC lunar symbol, crash rubble, dark sky, zombie revival energy, Do Kwon ghost","doge, pepe, shib, Bitcoin, generic moon rockets (ironic here), Ethereum","dark midnight #1B1464, lunar white/silver, faint red crash tones",tragic / dark / resurrection,PANTHEON,A-,Terra Classic,"Terra Luna Classic LUNC: the great 2022 crypto collapse, fallen moon, zombie community — Luna crescent moon falling — the great crypto collapse, now a zombie meme community"
S01-009,MCG-012,fartcoin,Fartcoin,FARTCOIN,Fartcoin,Peak Degeneracy,Wall Street never saw this coming.,S01,GENESIS,Edition 1,TBD,Green gas cloud / fart emoji aesthetic — pure absurdist internet humor at maximum valuation,Green fart gas cloud as glorious emblem — the absurdity of crypto peak degeneracy,"green gas cloud, fart emoji, toilet humor, FARTCOIN text, shocked wojak reaction","doge, pepe, generic meme coins, bitcoin, normal serious crypto imagery","green #8BC34A, yellow-green, pungent yellow",absurd / comic / green gas,PANTHEON,A-,Solana,"Fartcoin FARTCOIN: green gas cloud meme, peak absurdist crypto on Solana — Green gas cloud / fart emoji aesthetic — pure absurdist internet humor at maximum valuation"
S01-010,MCG-022,peanut-the-squirrel,Peanut the Squirrel,PNUT,Peanut the Squirrel,The Viral Squirrel,They took his nuts. We gave him a token.,S01,GENESIS,Edition 1,TBD,Peanut the Squirrel meme identity — meme energy,Peanut the Squirrel logo and meme identity clearly centered,"Peanut the Squirrel logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,PANTHEON,B+,Solana,Peanut the Squirrel (PNUT): meme meme token — Peanut the Squirrel meme identity — meme energy
S01-011,MCG-014,cheems-token,Cheems,CHEEMS,Cheems,The Buff Doge,Humble. Viral. Unstoppable.,S01,GENESIS,Edition 1,TBD,"Cheems meme — the small humble shiba with ""helo fren"" energy, different vibe from DOGE","Cheems shiba face — humble, small, ""helo"" expression distinct from DOGE confidence","Cheems shiba face, ""helo fren"" text, humble small dog energy, cheems vs buff doge format","regular doge face, pepe, shib aggressive, bitcoin, generic crypto","warm cream, light brown, gentle tones",humble / cute / cheems energy,ANIMALS,B+,BNB Chain,"Cheems CHEEMS: humble ""helo fren"" shiba meme, gentle small dog energy — Cheems meme — the small humble shiba with ""helo fren"" energy, different vibe from DOGE"
S01-012,MCG-015,toshi,Toshi,TOSHI,Toshi,Base's Cat,Based on Base. Literally.,S01,GENESIS,Edition 1,TBD,Blue cartoon cat on Base chain — Coinbase's informal cat mascot,Toshi blue cartoon cat — clean Base chain aesthetic,"blue cartoon cat, Base chain blue, Coinbase vibes, Toshi cat face","doge, pepe, Simon's Cat (different), bitcoin, ethereum, generic crypto","Base blue #0052FF, white, cartoon clean",clean / blue / cat energy,ANIMALS,B+,Base,"Toshi TOSHI: blue cartoon cat, Base chain Coinbase meme mascot — Blue cartoon cat on Base chain — Coinbase's informal cat mascot"
S01-013,MCG-020,mog-coin,Mog Coin,MOG,Mog Coin,"No Thoughts, Only Mogging",Not your average cat.,S01,GENESIS,Edition 1,TBD,"Mog cat in sunglasses — alpha energy, ""mogging everyone"", dismissive confidence","Smug cat with sunglasses — radiating alpha mog energy, looking down at others","cat with sunglasses, ""mogging"" energy, alpha dismissal pose, MOG text, cool confidence","doge, pepe, Simon's Cat, generic cats, bitcoin, ethereum","dark navy, silver sunglasses, cool gray, neon accent",smug / alpha / cool cat,ANIMALS,B+,Ethereum,"Mog Coin MOG: smug alpha cat in sunglasses, mogging culture, dismissive confidence — Mog cat in sunglasses — alpha energy, ""mogging everyone"", dismissive confidence"
S01-014,MCG-021,popcat,Popcat,POPCAT,Popcat,Open Wide,POP.,S01,GENESIS,Edition 1,TBD,"White cat with wide open circular mouth — the pop/click meme, pure viral energy",White cat with circular open mouth — that specific iconic POPCAT expression,"white cat with open O-shaped mouth, pop sound, click energy, viral spread visual","doge, pepe, regular cats with closed mouths, bitcoin, ethereum, Toshi","white cat, pink mouth, dark background",viral / pop / mouth-open energy,ANIMALS,B+,Solana,"Popcat POPCAT: white cat with wide open circular mouth, viral clicking meme — White cat with wide open circular mouth — the pop/click meme, pure viral energy"
S01-015,MCG-023,snek,Snek,SNEK,Snek,Cardano's Snake,Snek do not concern.,S01,GENESIS,Edition 1,TBD,Pixel snake — retro 8-bit game snake on Cardano blue background,"Cute pixel snake — retro game aesthetic, clearly non-threatening","pixel snake, retro 8-bit style, Cardano blue, snake eating pixel food","doge, pepe, modern 3D snake, bitcoin, ethereum, dangerous snake imagery","Cardano blue #0033AD, pixel green, retro palette",pixel / retro / cute snake,ANIMALS,B,Cardano,"Snek SNEK: cute pixel 8-bit snake, Cardano meme, retro game aesthetic — Pixel snake — retro 8-bit game snake on Cardano blue background"
S01-016,MCG-024,dogelon-mars,Dogelon Mars,ELON,Dogelon Mars,Space Doge,Dog went to space. Token followed.,S01,GENESIS,Edition 1,TBD,"Space astronaut shiba doge — on Mars surface, Elon Musk tribute meets doge",Shiba inu in spacesuit on Mars — the space exploration doge,"shiba inu astronaut, Mars surface, space helmet on doge, rocket ship, red Mars sky","regular doge face (must be space-suited), pepe, shib, bitcoin, generic space without dog","Mars red, space black, astronaut white, star gold",space / galactic / doge-in-space,ANIMALS,B,Ethereum,"Dogelon Mars ELON: shiba inu astronaut on Mars surface, space meme doge — Space astronaut shiba doge — on Mars surface, Elon Musk tribute meets doge"
S01-017,MCG-026,neiro-3,Neiro,NEIRO,Neiro,Doge's Sister,Kabosu had a baby. Internet adopted it.,S01,GENESIS,Edition 1,TBD,"Shiba inu puppy — Neiro, younger and more innocent than Doge, the sibling","Young innocent shiba inu — clearly the sibling, not the famous doge, softer expression","young shiba inu face, sibling energy, Neiro name, softer than DOGE/SHIB","regular doge face, fierce shib, pepe, bitcoin, generic dogs","soft warm brown, cream, gentle gold",innocent / young / sibling,ANIMALS,B+,Ethereum,"Neiro NEIRO: young shiba inu puppy, Kabosu's sister dog, innocent sibling meme — Shiba inu puppy — Neiro, younger and more innocent than Doge, the sibling"
S01-018,MCG-040,simon-s-cat,Simon's Cat,CAT,Simon's Cat,Matt's Cat,The cartoon that became a token.,S01,GENESIS,Edition 1,TBD,Simon's Cat meme identity — cat meme energy,Simon's Cat logo and cat meme identity clearly centered,"Simon's Cat logo, cat meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,ANIMALS,B+,Solana,Simon's Cat (CAT): cat meme meme token — Simon's Cat meme identity — cat meme energy
